name,milliseconds
Vivo Isolado Do Mundo,180035
Bodies,180035
Elvis Ate America,180166
Remote Control,180297
Promises,180401
Emergency,180427
À Vontade (Live Mix),180636
Hyperconectividade,180636
On Fire,180636
Fascinação,180793
Cafezinho,180924
Ponto De Interrogação,180950
We Are The Champions,180950
Spirit's in the Material World,181133
Can't Stand Losing You,181159
Comportamento Geral,181577
Um Love,181603
Basket Case,181629
Meu Pranto Rolou,181760
Carolina,181812
Minha Gata,181838
Pinball Wizard,181890
Absolute Zero,181995
Atomic Punk,182073
Killer Queen,182099
Put Your Head Out,182230
Minha Historia,182256
No Futuro,182308
Right Next Door to Hell,182321
Poor Tom,182491
My Time After Awhile,182491
Feira Moderna,182517
Leave Us Leap,182726
We Are The Champions,182883
Bora-Bora,182987
Sweetest Thing,183066
Tempos Modernos,183066
Caras Como Eu,183092
The Girl I Love She Got Long Black Wavy Hair,183327
Mensagen De Amor (2000),183588
Praiera,183640
Wrathchild,183666
Killing Time,183693
Bicycle Race,183823
Poofter's Froth Wyoming Plans Ahead,183902
Breed,183928
Live and Let Die,184016
The Lady Is A Tramp,184111
Mistério da Raça,184320
Unemployable,184398
O Leaozinho,184398
Esta É A Canção,184450
Um Amor, Um Lugar,184555
Fight From The Inside,184737
32 Dentes,184946
Sampa,185051
Deuce,185077
Adoled (Ocean),185103
Sweetest Thing,185103
Digging The Grave,185129
Coração Em Desalinho,185208
Communication Breakdown(3),185260
Tears Dry On Their Own,185293
Desafinado,185338
Pop Song 89,185730
Wrathchild,185808
Easy,185835
Jeepers Creepers,185965
Dance the Night Away,185965
Run Through The Jungle,186044
Van Diemen's Land,186044
O Mestre-Sala dos Mares,186226
Ugly In The Morning,186435
Where Have All The Good Times Gone?,186723
Theme From Let's Go Native,186723
Morena De Angola,186801
Who Needs You,186958
That's Life,187010
Genghis Khan,187141
Should I Stay Or Should I Go,187219
Helter Skelter,187350
Sleep On The Sidewalk,187428
Gimme Some Truth,187546
Let Me Off Uptown,187637
Bat Macumba,187794
Perfect,188133
Love Child,188160
Hot Pants Pt.1,188212
Nossa Gente (Avisa Là),188212
Motorbreath,188395
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),188473
My Kind Of Town,188499
Meu Erro,188577
Tapa Aqui, Descobre Ali,188630
Ty Cobb,188786
Judas Be My Guide,188786
Die Walküre: The Ride of the Valkyries,189008
Proud Mary,189022
So What,189152
Paranoid,189171
O Beco,189178
Antes Das Seis,189231
Leash,189257
Rita Lee,189257
Lucky 13,189387
Amanhã Não Se Sabe,189440
Eleanor Rigby,189466
Lá Vem O Sol (Here Comes The Sun),189492
Bop Boogie,189596
Train In Vain,189675
Tangerine,189675
Atras Da Porta,189675
Women In Uniform,189936
Não Vou Lutar,189988
Levada do Amor (Ailoviu),190093
Night Time Is The Right Time,190119
All Dead, All Dead,190119
Lanterna Dos Afogados,190197
Landslide,190275
Spank Thru,190354
Heaven Help,190354
Crash Course In Brain Surgery,190406
Put On Your Shit Kickers,190432
Come Fly With Me,190458
Choramingando,190484
Sozinho,190589
Berimbau,190667
May This Be Love,191216
Swedish Schnapps,191268
After Midnight,191320
I Don't Wanna Be Kissed (By Anyone But You),191320
Lodi,191451
Menina Sarará,191477
A Melhor Forma,191503
Untitled,191503
Drum Boogie,191555
Seconds,191582
16 Toneladas,191634
Pau-De-Arara,191660
Mulher Carioca,191686
Just Friends,191933
Too Late Too Late,192052
I Don't Wanna Be Kissed (By Anyone But You) (Alternate Take),192078
Imagine,192329
Slow Dawn,192339
Panis Et Circenses,192339
Pensamento,192391
Strutter,192496
Tomorrow's Dream,192496
(We Are) The Road Crew,192600
Vida Bandida (Ao Vivo),192626
Complete Control,192653
La Bella Luna,192653
Communication Breakdown,192653
O Segredo Do Universo,192679
Marquis In Spades,192731
Waiting,192757
Stand,192862
Believe,192940
Roxanne,192992
Go,193123
Love Or Confusion,193123
Brain Stew,193149
Disc Jockey Jump,193149
L.A. Is My Lady,193175
Instant Karma,193188
Lixo Do Mangue,193253
Friend Of A Friend,193280
Qualquer Coisa,193410
Jeru,193410
Signe,193515
Satch Boogie,193560
The Greeting Song,193593
Do You Love Me,193619
Concerto for 2 Violins in D Minor, BWV 1043: I. Vivace,193722
Soldier Of Fortune,193750
The Girl From Ipanema,193750
Nós (Ao Vivo),193828
Sábado À Noite,193854
Soneto Da Separacao,193880
I Could Die For You,193906
Um Certo Alguém,194063
Lemon Drop,194089
TriboTchan,194194
Soldado Da Paz,194220
Crackerman,194403
I Get A Kick Out Of You,194429
Manguetown,194560
Vertigo,194612
Chocolate,194690
So Central Rain,194768
Save The Children,194821
It's A Bitter Pill To Swallow,194821
Heart Of Gold,194873
É Fogo,194873
Música Urbana 2,194899
Sozinho (Hitmakers Classic Radio Edit),195004
Ghost,195108
Vida De Cachorro,195186
Realidade Virtual,195239
Homem Primata,195500
Tommy Gun,195526
Puteiro Em João Pessoa,195578
God Part II,195604
Ando Meio Desligado,195813
Lugar Nenhum,195840
Um Indio,195944
Se Você Pensa,195996
Na Cadência Do Samba,196075
Tudo Bem,196101
Little Church (Live),196101
Breakfast In Bed,196179
Yesterdays,196205
Make It Funky Pt.1,196231
Put You Down,196231
Love Gun,196257
02 - Sanctuary,196284
Elderly Woman Behind The Counter In A Small Town,196336
Springsville (Alternate Take),196388
51st Anniversary,196388
On A Plain,196440
Sparks Will Fly,196466
Hey Hey,196466
É que Nessa Encarnação Eu Nasci Manga,196519
Começaria Tudo Outra Vez,196545
No Way Back,196675
Spanish Eyes,196702
Rollover D.J.,196702
Sapato 36,196702
Be Quick Or Be Dead,196911
Solomon HWV 67: The Arrival of the Queen of Sheba,197135
You're Crazy,197135
Há Tempos,197146
Hot Dog,197198
Magic Bus,197224
04 - Running Free,197276
Beija Eu,197276
Hot Rockin',197328
The One I Love,197355
The Crunge,197407
Now's The Time,197459
Ruby Tuesday,197459
Paga Pau,197485
Paisagem Na Janela,197694
My Generation,197825
Azul Da Cor Do Mar,197955
Baixo Rio,198008
Shakes and Ladders,198008
Plaster Caster,198060
Fanfare for the Common Man,198064
Get On Top,198164
Redundant,198164
Luis Inacio (300 Picaretas),198191
Disarm,198556
Payin' Them Dues Blues,198556
Watching the Wheels,198645
Pererê,198661
Sanctuary,198844
Tendo A Lua,198922
Moon River,198922
Concerto No. 1 in E Major, RV 269 "Spring": I. Allegro,199086
Elza,199105
O Pulso,199131
Take the Box,199160
Foxy Lady,199340
The Last Song,199523
Jungle Drums,199627
Assum Preto,199653
Running Free,199706
London Calling,199706
Menestrel Das Alagoas,199758
C.O.D.,199836
Near Wild Heaven,199862
Love Comes,199923
Alabama Song,200097
Purgatory,200150
F**k Me Pumps,200253
Why Go,200254
Ice Cream Man,200306
Coroné Antonio Bento,200437
Summertime,200437
Último Pau-De-Arara,200437
The Wind Cries Mary,200463
Over Again,200489
Rock Bottom,200594
All My Love,200620
Posso Até Me Apaixonar,200698
Question!,200698
Cold Day In The Sun,200724
Too Fast For Love,200829
O Cidadão Do Mundo,200933
The Full Bug,201116
Immigrant Song,201247
How High The Moon,201430
Lady Double Dealer,201482
Showcase,201560
Love Me Darlin',201586
Rappers Reais,202004
Always With Me, Always With You,202035
Today,202213
Grito De Alerta,202213
Giz,202213
Fly By Night,202318
You Know I'm No Good (feat. Ghostface Killah),202320
Who Can It Be Now?,202396
Slide It In,202475
